Sensore,Data,Temperatura
S1,2020-01-01,19
S2,2020-01-01,54
S3,2020-01-01,41
S4,2020-01-01,33
S5,2020-01-01,50
S6,2020-01-01,15
S7,2020-01-01,57
S8,2020-01-01,40
S9,2020-01-01,14
S10,2020-01-01,10
S11,2020-01-01,55
S12,2020-01-01,35
S13,2020-01-01,15
S14,2020-01-01,12
S15,2020-01-01,44
S1,2020-01-02,56
S2,2020-01-02,64
S3,2020-01-02,41
S4,2020-01-02,42
S5,2020-01-02,61
S6,2020-01-02,29
S7,2020-01-02,62
S8,2020-01-02,35
S9,2020-01-02,30
S10,2020-01-02,10
S11,2020-01-02,19
S12,2020-01-02,45
S13,2020-01-02,15
S14,2020-01-02,64
S15,2020-01-02,27
S1,2020-01-03,39
S2,2020-01-03,23
S3,2020-01-03,55
S4,2020-01-03,23
S5,2020-01-03,33
S6,2020-01-03,44
S7,2020-01-03,54
S8,2020-01-03,53
S9,2020-01-03,55
S10,2020-01-03,26
S11,2020-01-03,63
S12,2020-01-03,54
S13,2020-01-03,38
S14,2020-01-03,33
S15,2020-01-03,37
S1,2020-01-04,29
S2,2020-01-04,16
S3,2020-01-04,37
S4,2020-01-04,49
S5,2020-01-04,15
S6,2020-01-04,58
S7,2020-01-04,42
S8,2020-01-04,29
S9,2020-01-04,25
S10,2020-01-04,42
S11,2020-01-04,21
S12,2020-01-04,29
S13,2020-01-04,21
S14,2020-01-04,32
S15,2020-01-04,41
S1,2020-01-05,35
S2,2020-01-05,51
S3,2020-01-05,41
S4,2020-01-05,51
S5,2020-01-05,35
S6,2020-01-05,42
S7,2020-01-05,45
S8,2020-01-05,56
S9,2020-01-05,44
S10,2020-01-05,10
S11,2020-01-05,11
S12,2020-01-05,20
S13,2020-01-05,50
S14,2020-01-05,25
S15,2020-01-05,62
S1,2020-01-06,40
S2,2020-01-06,34
S3,2020-01-06,12
S4,2020-01-06,58
S5,2020-01-06,46
S6,2020-01-06,13
S7,2020-01-06,17
S8,2020-01-06,31
S9,2020-01-06,58
S10,2020-01-06,34
S11,2020-01-06,62
S12,2020-01-06,59
S13,2020-01-06,40
S14,2020-01-06,45
S15,2020-01-06,21
S1,2020-01-07,24
S2,2020-01-07,43
S3,2020-01-07,31
S4,2020-01-07,24
S5,2020-01-07,55
S6,2020-01-07,21
S7,2020-01-07,22
S8,2020-01-07,52
S9,2020-01-07,62
S10,2020-01-07,59
S11,2020-01-07,49
S12,2020-01-07,24
S13,2020-01-07,58
S14,2020-01-07,49
S15,2020-01-07,13
S1,2020-01-08,47
S2,2020-01-08,56
S3,2020-01-08,13
S4,2020-01-08,27
S5,2020-01-08,12
S6,2020-01-08,52
S7,2020-01-08,26
S8,2020-01-08,28
S9,2020-01-08,50
S10,2020-01-08,37
S11,2020-01-08,27
S12,2020-01-08,30
S13,2020-01-08,47
S14,2020-01-08,26
S15,2020-01-08,37
S1,2020-01-09,48
S2,2020-01-09,14
S3,2020-01-09,20
S4,2020-01-09,32
S5,2020-01-09,50
S6,2020-01-09,33
S7,2020-01-09,54
S8,2020-01-09,36
S9,2020-01-09,34
S10,2020-01-09,50
S11,2020-01-09,27
S12,2020-01-09,47
S13,2020-01-09,14
S14,2020-01-09,63
S15,2020-01-09,61
S1,2020-01-10,53
S2,2020-01-10,24
S3,2020-01-10,47
S4,2020-01-10,54
S5,2020-01-10,51
S6,2020-01-10,16
S7,2020-01-10,55
S8,2020-01-10,22
S9,2020-01-10,43
S10,2020-01-10,33
S11,2020-01-10,63
S12,2020-01-10,25
S13,2020-01-10,45
S14,2020-01-10,51
S15,2020-01-10,38
S1,2020-01-11,56
S2,2020-01-11,39
S3,2020-01-11,35
S4,2020-01-11,35
S5,2020-01-11,21
S6,2020-01-11,44
S7,2020-01-11,13
S8,2020-01-11,35
S9,2020-01-11,63
S10,2020-01-11,45
S11,2020-01-11,58
S12,2020-01-11,30
S13,2020-01-11,43
S14,2020-01-11,41
S15,2020-01-11,49
S1,2020-01-12,15
S2,2020-01-12,22
S3,2020-01-12,30
S4,2020-01-12,54
S5,2020-01-12,49
S6,2020-01-12,13
S7,2020-01-12,48
S8,2020-01-12,58
S9,2020-01-12,40
S10,2020-01-12,31
S11,2020-01-12,57
S12,2020-01-12,57
S13,2020-01-12,41
S14,2020-01-12,64
S15,2020-01-12,52
S1,2020-01-13,18
S2,2020-01-13,18
S3,2020-01-13,49
S4,2020-01-13,61
S5,2020-01-13,59
S6,2020-01-13,52
S7,2020-01-13,21
S8,2020-01-13,44
S9,2020-01-13,51
S10,2020-01-13,26
S11,2020-01-13,49
S12,2020-01-13,53
S13,2020-01-13,48
S14,2020-01-13,19
S15,2020-01-13,58
S1,2020-01-14,50
S2,2020-01-14,22
S3,2020-01-14,45
S4,2020-01-14,59
S5,2020-01-14,27
S6,2020-01-14,51
S7,2020-01-14,59
S8,2020-01-14,56
S9,2020-01-14,12
S10,2020-01-14,34
S11,2020-01-14,18
S12,2020-01-14,46
S13,2020-01-14,59
S14,2020-01-14,13
S15,2020-01-14,29
S1,2020-01-15,52
S2,2020-01-15,36
S3,2020-01-15,36
S4,2020-01-15,20
S5,2020-01-15,36
S6,2020-01-15,49
S7,2020-01-15,45
S8,2020-01-15,46
S9,2020-01-15,47
S10,2020-01-15,62
